"date","pol","aqs"
2020-03-22 00:00:00,NA,"Pico do Jaraguá"
2020-03-22 01:00:00,NA,"Pico do Jaraguá"
2020-03-22 02:00:00,NA,"Pico do Jaraguá"
2020-03-22 03:00:00,NA,"Pico do Jaraguá"
2020-03-22 04:00:00,NA,"Pico do Jaraguá"
2020-03-22 05:00:00,NA,"Pico do Jaraguá"
2020-03-22 06:00:00,NA,"Pico do Jaraguá"
2020-03-22 07:00:00,NA,"Pico do Jaraguá"
2020-03-22 08:00:00,NA,"Pico do Jaraguá"
2020-03-22 09:00:00,NA,"Pico do Jaraguá"
2020-03-22 10:00:00,NA,"Pico do Jaraguá"
2020-03-22 11:00:00,NA,"Pico do Jaraguá"
2020-03-22 12:00:00,NA,"Pico do Jaraguá"
2020-03-22 13:00:00,NA,"Pico do Jaraguá"
2020-03-22 14:00:00,NA,"Pico do Jaraguá"
2020-03-22 15:00:00,NA,"Pico do Jaraguá"
2020-03-22 16:00:00,NA,"Pico do Jaraguá"
2020-03-22 17:00:00,NA,"Pico do Jaraguá"
2020-03-22 18:00:00,NA,"Pico do Jaraguá"
2020-03-22 19:00:00,NA,"Pico do Jaraguá"
2020-03-22 20:00:00,NA,"Pico do Jaraguá"
2020-03-22 21:00:00,NA,"Pico do Jaraguá"
2020-03-22 22:00:00,NA,"Pico do Jaraguá"
2020-03-22 23:00:00,NA,"Pico do Jaraguá"
2020-03-23 00:00:00,NA,"Pico do Jaraguá"
2020-03-23 01:00:00,NA,"Pico do Jaraguá"
2020-03-23 02:00:00,NA,"Pico do Jaraguá"
2020-03-23 03:00:00,NA,"Pico do Jaraguá"
2020-03-23 04:00:00,NA,"Pico do Jaraguá"
2020-03-23 05:00:00,NA,"Pico do Jaraguá"
2020-03-23 06:00:00,NA,"Pico do Jaraguá"
2020-03-23 07:00:00,NA,"Pico do Jaraguá"
2020-03-23 08:00:00,NA,"Pico do Jaraguá"
2020-03-23 09:00:00,NA,"Pico do Jaraguá"
2020-03-23 10:00:00,NA,"Pico do Jaraguá"
2020-03-23 11:00:00,NA,"Pico do Jaraguá"
2020-03-23 12:00:00,NA,"Pico do Jaraguá"
2020-03-23 13:00:00,NA,"Pico do Jaraguá"
2020-03-23 14:00:00,NA,"Pico do Jaraguá"
2020-03-23 15:00:00,NA,"Pico do Jaraguá"
2020-03-23 16:00:00,NA,"Pico do Jaraguá"
2020-03-23 17:00:00,NA,"Pico do Jaraguá"
2020-03-23 18:00:00,NA,"Pico do Jaraguá"
2020-03-23 19:00:00,NA,"Pico do Jaraguá"
2020-03-23 20:00:00,NA,"Pico do Jaraguá"
2020-03-23 21:00:00,NA,"Pico do Jaraguá"
2020-03-23 22:00:00,NA,"Pico do Jaraguá"
2020-03-23 23:00:00,NA,"Pico do Jaraguá"
2020-03-24 00:00:00,NA,"Pico do Jaraguá"
2020-03-24 01:00:00,NA,"Pico do Jaraguá"
2020-03-24 02:00:00,NA,"Pico do Jaraguá"
2020-03-24 03:00:00,NA,"Pico do Jaraguá"
2020-03-24 04:00:00,NA,"Pico do Jaraguá"
2020-03-24 05:00:00,NA,"Pico do Jaraguá"
2020-03-24 06:00:00,NA,"Pico do Jaraguá"
2020-03-24 07:00:00,NA,"Pico do Jaraguá"
2020-03-24 08:00:00,NA,"Pico do Jaraguá"
2020-03-24 09:00:00,34,"Pico do Jaraguá"
2020-03-24 10:00:00,37,"Pico do Jaraguá"
2020-03-24 11:00:00,45,"Pico do Jaraguá"
2020-03-24 12:00:00,53,"Pico do Jaraguá"
2020-03-24 13:00:00,65,"Pico do Jaraguá"
2020-03-24 14:00:00,83,"Pico do Jaraguá"
2020-03-24 15:00:00,85,"Pico do Jaraguá"
2020-03-24 16:00:00,72,"Pico do Jaraguá"
2020-03-24 17:00:00,61,"Pico do Jaraguá"
2020-03-24 18:00:00,52,"Pico do Jaraguá"
2020-03-24 19:00:00,38,"Pico do Jaraguá"
2020-03-24 20:00:00,33,"Pico do Jaraguá"
2020-03-24 21:00:00,34,"Pico do Jaraguá"
2020-03-24 22:00:00,35,"Pico do Jaraguá"
2020-03-24 23:00:00,33,"Pico do Jaraguá"
2020-03-25 00:00:00,38,"Pico do Jaraguá"
2020-03-25 01:00:00,35,"Pico do Jaraguá"
2020-03-25 02:00:00,32,"Pico do Jaraguá"
2020-03-25 03:00:00,30,"Pico do Jaraguá"
2020-03-25 04:00:00,33,"Pico do Jaraguá"
2020-03-25 05:00:00,32,"Pico do Jaraguá"
2020-03-25 06:00:00,NA,"Pico do Jaraguá"
2020-03-25 07:00:00,20,"Pico do Jaraguá"
2020-03-25 08:00:00,25,"Pico do Jaraguá"
2020-03-25 09:00:00,25,"Pico do Jaraguá"
2020-03-25 10:00:00,30,"Pico do Jaraguá"
2020-03-25 11:00:00,40,"Pico do Jaraguá"
2020-03-25 12:00:00,55,"Pico do Jaraguá"
2020-03-25 13:00:00,68,"Pico do Jaraguá"
2020-03-25 14:00:00,81,"Pico do Jaraguá"
2020-03-25 15:00:00,112,"Pico do Jaraguá"
2020-03-25 16:00:00,98,"Pico do Jaraguá"
2020-03-25 17:00:00,75,"Pico do Jaraguá"
2020-03-25 18:00:00,57,"Pico do Jaraguá"
2020-03-25 19:00:00,35,"Pico do Jaraguá"
2020-03-25 20:00:00,26,"Pico do Jaraguá"
2020-03-25 21:00:00,20,"Pico do Jaraguá"
2020-03-25 22:00:00,15,"Pico do Jaraguá"
2020-03-25 23:00:00,14,"Pico do Jaraguá"
2020-03-26 00:00:00,22,"Pico do Jaraguá"
2020-03-26 01:00:00,20,"Pico do Jaraguá"
2020-03-26 02:00:00,12,"Pico do Jaraguá"
2020-03-26 03:00:00,13,"Pico do Jaraguá"
2020-03-26 04:00:00,7,"Pico do Jaraguá"
2020-03-26 05:00:00,11,"Pico do Jaraguá"
2020-03-26 06:00:00,NA,"Pico do Jaraguá"
2020-03-26 07:00:00,21,"Pico do Jaraguá"
2020-03-26 08:00:00,26,"Pico do Jaraguá"
2020-03-26 09:00:00,23,"Pico do Jaraguá"
2020-03-26 10:00:00,NA,"Pico do Jaraguá"
2020-03-26 11:00:00,47,"Pico do Jaraguá"
2020-03-26 12:00:00,63,"Pico do Jaraguá"
2020-03-26 13:00:00,78,"Pico do Jaraguá"
2020-03-26 14:00:00,98,"Pico do Jaraguá"
2020-03-26 15:00:00,113,"Pico do Jaraguá"
2020-03-26 16:00:00,119,"Pico do Jaraguá"
2020-03-26 17:00:00,113,"Pico do Jaraguá"
2020-03-26 18:00:00,71,"Pico do Jaraguá"
2020-03-26 19:00:00,42,"Pico do Jaraguá"
2020-03-26 20:00:00,28,"Pico do Jaraguá"
2020-03-26 21:00:00,24,"Pico do Jaraguá"
2020-03-26 22:00:00,26,"Pico do Jaraguá"
2020-03-26 23:00:00,26,"Pico do Jaraguá"
2020-03-27 00:00:00,33,"Pico do Jaraguá"
2020-03-27 01:00:00,27,"Pico do Jaraguá"
2020-03-27 02:00:00,NA,"Pico do Jaraguá"
2020-03-27 03:00:00,26,"Pico do Jaraguá"
2020-03-27 04:00:00,25,"Pico do Jaraguá"
2020-03-27 05:00:00,NA,"Pico do Jaraguá"
2020-03-27 06:00:00,NA,"Pico do Jaraguá"
2020-03-27 07:00:00,22,"Pico do Jaraguá"
2020-03-27 08:00:00,21,"Pico do Jaraguá"
2020-03-27 09:00:00,26,"Pico do Jaraguá"
2020-03-27 10:00:00,37,"Pico do Jaraguá"
2020-03-27 11:00:00,NA,"Pico do Jaraguá"
2020-03-27 12:00:00,63,"Pico do Jaraguá"
2020-03-27 13:00:00,73,"Pico do Jaraguá"
2020-03-27 14:00:00,67,"Pico do Jaraguá"
2020-03-27 15:00:00,73,"Pico do Jaraguá"
2020-03-27 16:00:00,86,"Pico do Jaraguá"
2020-03-27 17:00:00,85,"Pico do Jaraguá"
2020-03-27 18:00:00,67,"Pico do Jaraguá"
2020-03-27 19:00:00,NA,"Pico do Jaraguá"
2020-03-27 20:00:00,35,"Pico do Jaraguá"
2020-03-27 21:00:00,32,"Pico do Jaraguá"
2020-03-27 22:00:00,31,"Pico do Jaraguá"
2020-03-27 23:00:00,35,"Pico do Jaraguá"
2020-03-28 00:00:00,33,"Pico do Jaraguá"
2020-03-28 01:00:00,27,"Pico do Jaraguá"
2020-03-28 02:00:00,27,"Pico do Jaraguá"
2020-03-28 03:00:00,22,"Pico do Jaraguá"
2020-03-28 04:00:00,23,"Pico do Jaraguá"
2020-03-28 05:00:00,26,"Pico do Jaraguá"
2020-03-28 06:00:00,NA,"Pico do Jaraguá"
2020-03-28 07:00:00,28,"Pico do Jaraguá"
2020-03-28 08:00:00,28,"Pico do Jaraguá"
2020-03-28 09:00:00,30,"Pico do Jaraguá"
2020-03-28 10:00:00,37,"Pico do Jaraguá"
2020-03-28 11:00:00,51,"Pico do Jaraguá"
2020-03-28 12:00:00,59,"Pico do Jaraguá"
2020-03-28 13:00:00,70,"Pico do Jaraguá"
2020-03-28 14:00:00,75,"Pico do Jaraguá"
2020-03-28 15:00:00,75,"Pico do Jaraguá"
2020-03-28 16:00:00,79,"Pico do Jaraguá"
2020-03-28 17:00:00,96,"Pico do Jaraguá"
2020-03-28 18:00:00,94,"Pico do Jaraguá"
2020-03-28 19:00:00,62,"Pico do Jaraguá"
2020-03-28 20:00:00,39,"Pico do Jaraguá"
2020-03-28 21:00:00,26,"Pico do Jaraguá"
2020-03-28 22:00:00,17,"Pico do Jaraguá"
2020-03-28 23:00:00,19,"Pico do Jaraguá"
2020-03-29 00:00:00,24,"Pico do Jaraguá"
